metric,projector,instance,precision,recall,f1
test_other-product-mobile_phone/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-coach/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-celestial/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-company/macro_types,classifier_adapter_bert_ms,0,0.9629629850387572,0.025341130793094635,0.04938271641731262
test_organization-education/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person/macro_types,classifier_adapter_bert_ms,0,0.7078384757041931,0.5274336338043213,0.6044624447822571
test_other-legal/macro_types,classifier_adapter_bert_ms,0,0.46666666865348816,0.10408922284841536,0.1702127605676651
test_person-artist-author/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-art/macro_types,classifier_adapter_bert_ms,0,0.23853211104869845,0.19696970283985135,0.21576763689517975
test_other-event-violent_conflict/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-food/macro_types,classifier_adapter_bert_ms,0,0.12903225421905518,0.09756097197532654,0.1111111044883728
test/macro_types,classifier_adapter_bert_ms,0,0.17452070116996765,0.121604785323143,0.14333486557006836
test_other-currency/macro_types,classifier_adapter_bert_ms,0,0.375,0.6529411673545837,0.4763948023319245
test_organization-transit/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-weapon/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-sports_and_leisure/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-theater/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-hotel/macro_types,classifier_adapter_bert_ms,0,1.0,0.20000000298023224,0.3333333134651184
test_person-religious_leader/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-political_party/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-living_thing/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test/macro_example,classifier_adapter_bert_ms,0,0.6567648649215698,0.6278961896896362,0.6420061588287354
test_location-transit-bridge/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-geography-mountain/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-supernatural/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-artist-director/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-holiday/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-legal/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-sports_league/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-military/macro_types,classifier_adapter_bert_ms,0,0.5555555820465088,0.5555555820465088,0.5555555820465088
test_location-transit-railway/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-art-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-art-stage/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-language/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other/macro_types,classifier_adapter_bert_ms,0,0.8950884342193604,0.7725962400436401,0.8293437957763672
test_location-structure-airport/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-art-broadcast/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-transit/macro_types,classifier_adapter_bert_ms,0,0.380952388048172,0.5,0.4324324429035187
test_other-heritage/macro_types,classifier_adapter_bert_ms,0,1.0,0.10000000149011612,0.1818181872367859
test_organization-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-company-broadcast/macro_types,classifier_adapter_bert_ms,0,0.7692307829856873,0.5882353186607361,0.6666666865348816
test_other-health-malady/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-political_figure/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-internet/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-doctor/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-health/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-event-natural_disaster/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
